Dataset,L,Method,k,w_prime,Seed,Edge_Count,Mat_Time_s,Macro_F1,CKA,Pred_Agreement
HGB_IMDB,2,KGRW,8,64,43,14996,0.0278,0.541519,0.99959,0.995608
HGB_IMDB,2,KGRW,8,64,44,14996,0.0227,0.54134,0.999674,0.997973
HGB_IMDB,2,KGRW,8,64,45,14996,0.0139,0.540445,0.999151,0.996622
HGB_IMDB,2,KGRW,8,64,46,14996,0.0139,0.540605,0.999468,0.995946
HGB_IMDB,2,KGRW,8,128,42,14996,0.023,0.54155,0.999604,0.998311
HGB_IMDB,2,KGRW,8,128,43,14996,0.0271,0.541519,0.99959,0.995608
HGB_IMDB,2,KGRW,8,128,44,14996,0.0224,0.54134,0.999674,0.997973
HGB_IMDB,2,KGRW,8,128,45,14996,0.0225,0.540445,0.999151,0.996622
HGB_IMDB,2,KGRW,8,128,46,14996,0.0227,0.540605,0.999468,0.995946
HGB_IMDB,2,KGRW,16,32,42,16206,0.0114,0.540887,0.999973,1.0
HGB_IMDB,2,KGRW,16,32,43,16206,0.0095,0.540889,0.999981,0.999662
HGB_IMDB,2,KGRW,16,32,44,16206,0.0101,0.541118,0.999954,0.999324
HGB_IMDB,2,KGRW,16,32,45,16206,0.0099,0.540828,0.999955,0.999662
HGB_IMDB,2,KGRW,16,32,46,16206,0.0098,0.540868,0.999958,1.0
HGB_IMDB,2,KGRW,16,64,42,16206,0.0177,0.540887,0.999973,1.0
HGB_IMDB,2,KGRW,16,64,43,16206,0.0198,0.540889,0.999981,0.999662
HGB_IMDB,2,KGRW,16,64,44,16206,0.0154,0.541118,0.999954,0.999324
HGB_IMDB,2,KGRW,16,64,45,16206,0.0197,0.540828,0.999955,0.999662
HGB_IMDB,2,KGRW,16,64,46,16206,0.0154,0.540868,0.999958,1.0
HGB_IMDB,2,KGRW,16,128,42,16206,0.0249,0.540887,0.999973,1.0
HGB_IMDB,2,KGRW,16,128,43,16206,0.0297,0.540889,0.999981,0.999662
HGB_IMDB,2,KGRW,16,128,44,16206,0.0257,0.541118,0.999954,0.999324
HGB_IMDB,2,KGRW,16,128,45,16206,0.0278,0.540828,0.999955,0.999662
HGB_IMDB,2,KGRW,16,128,46,16206,0.0245,0.540868,0.999958,1.0
HGB_IMDB,2,KGRW,32,32,42,16350,0.0097,0.540889,1.0,1.0
HGB_IMDB,2,KGRW,32,32,43,16350,0.0109,0.540889,1.0,1.0
HGB_IMDB,2,KGRW,32,32,44,16350,0.0107,0.540889,1.0,1.0
HGB_IMDB,2,KGRW,32,32,45,16350,0.0098,0.540889,1.0,1.0
HGB_IMDB,2,KGRW,32,32,46,16350,0.0114,0.540889,1.0,1.0
HGB_IMDB,2,KGRW,32,64,42,16350,0.0194,0.540889,1.0,1.0
HGB_IMDB,2,KGRW,32,64,43,16350,0.0152,0.540889,1.0,1.0
HGB_IMDB,2,KGRW,32,64,44,16350,0.0156,0.540889,1.0,1.0
